RUN	PerformanceTest	performancetest	1549553215322	 	3.0.3
USER	OrderItemsAndAcceptOrder	1	START	1549553216700	1549553216700
USER	OrderItemsAndAcceptOrder	2	START	1549553216729	1549553216729
USER	OrderItemsAndAcceptOrder	3	START	1549553216730	1549553216730
USER	OrderItemsAndAcceptOrder	4	START	1549553216740	1549553216740
USER	OrderItemsAndAcceptOrder	5	START	1549553216741	1549553216741
USER	OrderItemsAndAcceptOrder	6	START	1549553216742	1549553216742
USER	OrderItemsAndAcceptOrder	7	START	1549553216746	1549553216746
USER	OrderItemsAndAcceptOrder	8	START	1549553216750	1549553216750
USER	OrderItemsAndAcceptOrder	9	START	1549553216752	1549553216752
USER	OrderItemsAndAcceptOrder	10	START	1549553216759	1549553216759
USER	OrderItemsAndAcceptOrder	11	START	1549553216761	1549553216761
USER	OrderItemsAndAcceptOrder	12	START	1549553216763	1549553216763
USER	OrderItemsAndAcceptOrder	13	START	1549553216765	1549553216765
USER	OrderItemsAndAcceptOrder	14	START	1549553216766	1549553216766
USER	OrderItemsAndAcceptOrder	15	START	1549553216775	1549553216775
USER	OrderItemsAndAcceptOrder	16	START	1549553216777	1549553216777
USER	OrderItemsAndAcceptOrder	17	START	1549553216779	1549553216779
USER	OrderItemsAndAcceptOrder	18	START	1549553216780	1549553216780
USER	OrderItemsAndAcceptOrder	19	START	1549553216782	1549553216782
USER	OrderItemsAndAcceptOrder	20	START	1549553216783	1549553216783
REQUEST	1		Login as a Client	1549553216726	1549553217374	OK	 
REQUEST	11		Login as a Client	1549553216762	1549553217384	OK	 
REQUEST	14		Login as a Client	1549553216774	1549553217388	OK	 
REQUEST	5		Login as a Client	1549553216742	1549553217374	OK	 
REQUEST	15		Login as a Client	1549553216776	1549553217391	OK	 
REQUEST	10		Login as a Client	1549553216760	1549553217374	OK	 
REQUEST	6		Login as a Client	1549553216743	1549553217375	OK	 
REQUEST	3		Login as a Client	1549553216730	1549553217374	OK	 
REQUEST	12		Login as a Client	1549553216764	1549553217384	OK	 
REQUEST	7		Login as a Client	1549553216747	1549553217384	OK	 
REQUEST	2		Login as a Client	1549553216730	1549553217374	OK	 
REQUEST	4		Login as a Client	1549553216741	1549553217374	OK	 
REQUEST	16		Login as a Client	1549553216778	1549553217391	OK	 
REQUEST	8		Login as a Client	1549553216750	1549553217384	OK	 
REQUEST	9		Login as a Client	1549553216753	1549553217374	OK	 
REQUEST	13		Login as a Client	1549553216765	1549553217384	OK	 
REQUEST	20		Login as a Client	1549553216783	1549553217424	OK	 
REQUEST	19		Login as a Client	1549553216782	1549553217424	OK	 
REQUEST	18		Login as a Client	1549553216780	1549553217425	OK	 
REQUEST	17		Login as a Client	1549553216780	1549553217424	OK	 
REQUEST	9		View Order Page	1549553219396	1549553219400	OK	 
REQUEST	3		View Order Page	1549553219401	1549553219407	OK	 
REQUEST	5		View Order Page	1549553219402	1549553219407	OK	 
REQUEST	13		View Order Page	1549553219402	1549553219408	OK	 
REQUEST	10		View Order Page	1549553219401	1549553219407	OK	 
REQUEST	1		View Order Page	1549553219401	1549553219407	OK	 
REQUEST	2		View Order Page	1549553219401	1549553219411	OK	 
REQUEST	4		View Order Page	1549553219403	1549553219413	OK	 
REQUEST	6		View Order Page	1549553219404	1549553219414	OK	 
REQUEST	12		View Order Page	1549553219411	1549553219416	OK	 
REQUEST	7		View Order Page	1549553219411	1549553219416	OK	 
REQUEST	14		View Order Page	1549553219411	1549553219417	OK	 
REQUEST	8		View Order Page	1549553219411	1549553219417	OK	 
REQUEST	11		View Order Page	1549553219412	1549553219418	OK	 
REQUEST	16		View Order Page	1549553219411	1549553219417	OK	 
REQUEST	15		View Order Page	1549553219420	1549553219423	OK	 
REQUEST	20		View Order Page	1549553219440	1549553219443	OK	 
REQUEST	19		View Order Page	1549553219440	1549553219444	OK	 
REQUEST	17		View Order Page	1549553219440	1549553219443	OK	 
REQUEST	18		View Order Page	1549553219440	1549553219444	OK	 
REQUEST	9		Current USER	1549553221403	1549553221407	OK	 
REQUEST	10		Current USER	1549553221403	1549553221407	OK	 
REQUEST	3		Current USER	1549553221403	1549553221407	OK	 
REQUEST	1		Current USER	1549553221403	1549553221407	OK	 
REQUEST	5		Current USER	1549553221403	1549553221407	OK	 
REQUEST	13		Current USER	1549553221403	1549553221407	OK	 
REQUEST	4		Current USER	1549553221403	1549553221407	OK	 
REQUEST	12		Current USER	1549553221410	1549553221413	OK	 
REQUEST	6		Current USER	1549553221410	1549553221413	OK	 
REQUEST	2		Current USER	1549553221410	1549553221413	OK	 
REQUEST	7		Current USER	1549553221410	1549553221413	OK	 
REQUEST	14		Current USER	1549553221422	1549553221426	OK	 
REQUEST	15		Current USER	1549553221422	1549553221426	OK	 
REQUEST	8		Current USER	1549553221422	1549553221426	OK	 
REQUEST	11		Current USER	1549553221422	1549553221426	OK	 
REQUEST	16		Current USER	1549553221422	1549553221426	OK	 
REQUEST	17		Current USER	1549553221442	1549553221444	OK	 
REQUEST	20		Current USER	1549553221442	1549553221444	OK	 
REQUEST	19		Current USER	1549553221442	1549553221444	OK	 
REQUEST	18		Current USER	1549553221452	1549553221454	OK	 
REQUEST	5		Add Order	1549553223411	1549553223419	OK	 
REQUEST	9		Add Order	1549553223407	1549553223421	OK	 
REQUEST	1		Add Order	1549553223411	1549553223420	OK	 
REQUEST	10		Add Order	1549553223407	1549553223419	OK	 
