RUN	PerformanceTest	performancetest	1549555375689	[3~	3.0.3
USER	OrderItemsAndAcceptOrder	1	START	1549555376902	1549555376902
REQUEST	1		Login as a Client	1549555376928	1549555377563	OK	 
REQUEST	1		View Order Page	1549555379586	1549555379595	OK	 
REQUEST	1		Current User	1549555381592	1549555381595	OK	 
REQUEST	1		Add Order	1549555383606	1549555383613	OK	 
REQUEST	1		Client Logout	1549555385614	1549555385616	OK	 
REQUEST	1		Client Logout Redirect 1	1549555385623	1549555385624	OK	 
REQUEST	1		Client Logout Redirect 2	1549555385626	1549555385628	OK	 
REQUEST	1		Login as a Employee	1549555385630	1549555386236	OK	 
REQUEST	1		Current User	1549555388233	1549555388236	OK	 
REQUEST	1		Change status of order	1549555390244	1549555390266	OK	 
REQUEST	1		Employee Logout	1549555395263	1549555395265	OK	 
REQUEST	1		Employee Logout Redirect 1	1549555395267	1549555395269	OK	 
REQUEST	1		Employee Logout Redirect 2	1549555395271	1549555395273	OK	 
USER	OrderItemsAndAcceptOrder	1	END	1549555376902	1549555395277
