RUN	computerdatabase.BasicSimulation	basicsimulation	1549054593683	test run	3.0.3
USER	Scenario Name	1	START	1549054595044	1549054595044
REQUEST	1		request_1	1549054595068	1549054595322	OK	 
REQUEST	1		request_1 Redirect 1	1549054595334	1549054595450	OK	 
REQUEST	1		request_2	1549054602468	1549054602634	OK	 
REQUEST	1		request_3	1549054604638	1549054604699	OK	 
REQUEST	1		request_4	1549054607697	1549054607769	OK	 
REQUEST	1		request_4 Redirect 1	1549054607770	1549054607873	OK	 
REQUEST	1		request_5	1549054609879	1549054610050	OK	 
REQUEST	1		request_6	1549054610718	1549054610801	OK	 
REQUEST	1		request_7	1549054611428	1549054611497	OK	 
REQUEST	1		request_8	1549054612239	1549054612309	OK	 
REQUEST	1		request_9	1549054617308	1549054617486	OK	 
REQUEST	1		request_10	1549054618495	1549054618567	OK	 
REQUEST	1		request_10 Redirect 1	1549054618574	1549054618679	OK	 
USER	Scenario Name	1	END	1549054595044	1549054618683
